,text,labels
37,"It's rime for the back to school shots. ""Malita says some of the required vaccinations teens need to receive are against meningitis and tetanus.  The Health Department is also offering the COVID-19 vaccine. ""   http Nuff said. God Bless America, God Save The Rep",2
38,"“Parents are having their say about the Covid-19 vaccines for children under 5, and for most, the answer so far is no.”  http",2
39,@user @user @user They spent money on COVID-19 and thank god they did.  Got us the vaccine mandate meds in record time.  That’s the reason these bozos can say they’ve reduced the deficit.  Of course they did..we spent trillions to fight the virus.  They spend billion to ….hire irs agents,0
40,DANS LA FAMILLE FABIUS VOUS AVEZ LE PERE  covid-19-vaccine-deployment-risks-mckinseyTélécharger Impressionnant ce schéma qui détaille le schéma opérationnel commun aux différentes entités pour délivrer les vaccins.   http Victor Fabius co-auteur de Comment,1
41,"Currently one of the most talked about vaccines, here are some facts about the COVID-19 vaccine as provided by the COVID-19 Public Education Campaign.   #ivax2protec  http",1
42,3Ktv News Headlines today.   SINOVAC COVID-19 Vaccine for Children Above 6 Months of Age   #DStv293 #3KtvNews #TheBestOfZimbabwe  http,2
43,Novavax Inc on Monday halved its full-year revenue forecast as it does not expect further sales of its COVID-19 shot this year in the United States in the face of a global supply glut and soft demand. #news #blnnetwork #businesslivenews #bln #Novavax #vaccine #glutes  http,0
44,"@user @user Caused by covid 19 or the vaccines? 680 Australians died last week with covid , ironically with a 90% double dose vaccination rate. The vax is a 🍋  Stop the hysteria Stop the vaccines",2
45,@user They said it maybe the covid 19 vaccine,2
46,"COVID-Related Stillbirths Didn’t Have to Happen. A lack of testing data &amp; government guidance led many to avoid the COVID-19 vaccine during pregnancy, unwittingly increasing their chances of a stillbirth. w comments from Ruth Faden @user | ProPublica  http",2
47,Novavax Covid-19 vaccine should carry warning for possible heart side-effects    http,2
48,Illinois hospital system to pay $10.3 million in settlement with workers over COVID-19 vaccine mandate  http,1
49,@user I did however 100% agree with their leaders stance on forced covid 19 vaccines. That issue  was something I’d stand by them on regardless.,1
50,Misrepresentation of Germany’s Data on Unverified COVID-19 Vaccine Side Effects  http,0
51,"August is National Immunization Month!  The summer is winding down and school is around the corner, we encourage you to stay informed on vaccinations. Visit the CDC website to learn more about the COVID-19 vaccine.  http",2
52,Liars. 😡  EXCLUSIVE: CDC Claims Link Between Heart Inflammation and COVID-19 Vaccines Wasn’t Known for Most of 2021  http,0
53,"College students, return to campus confidently and safely! Get vaccinated and boosted against COVID-19 before fall semester starts. To find a vaccine, visit  http  http",1
54,EMA recommends Novavax add warning to their COVID-19 vaccine - The Jerusalem Post  http,2
55,"More than 196.89 cr COVID-19 vaccine doses provided to States, UTs, Health News, ET HealthWorld  http",2
56,"Why K-12 schools aren’t requiring students to get Covid-19 #Vaccines  -- News, Social Impact | The Perfect Enemy:  http  #Adolescents #Black #Hispanic #PublicHealth  http",0
57,Today's Newswire: (Washington Examiner) Fed-up Fauci says he's over people who won't 'adhere' to COVID-19 rules  This Moderna Phase 3 Vaccine Trials volunteer is fed up with Anthony Fauci.,0
58,South Africa Confirms First Death ‘Causally Linked’ to COVID-19 Vaccine  http,1
59,"@user (1/3) Health Canada received a submission from Pfizer-BioNTech seeking authorization for the use of its Comirnaty COVID-19 vaccine as a booster dose in children 5 to 11 years of age on May 27, 2022. Health Canada reviews vaccine applications through an independent process and ...",1
60,"Stop all mdm fckr vaxx no vax repeat not even one is effective. All is about killing story!  Spikevax (previously COVID-19 Vaccine Moderna, mRNA)  http",0
61,Open Access UCL Research: A positive update on COVID-19 booster vaccine willingness among Danes  http,2
62,Should you get another Covid-19 vaccine booster now or wait for the new shots?  http  http,2
63,"""Parental COVID-19 Vaccine Hesitancy in the United States - Jeanette B. Ruiz, Robert A. Bell, 2022""  http 草",2
64,@user @user ...and that's a wRap!  Read @user explainer thread on the country's COVID-19 vaccine wastage here.  http,1
65,"More than 80,000 Durham residents have received 2nd COVID-19 vaccine booster. @user @user    http  http",2
66,@user How many of the 9 confirmed and 46 probable cases have received at least one covid-19 vaccine shot?,1
67,"74.2 million people in the USA have not had a single dose of a Covid-19 Vaccine, &amp; another 157 million have refused a 2nd or 3rd dose according to CDC – The Expose  http",2
68,A doctor who was banned from Twitter for posting about COVID-19 vaccines is willing to serve as the ... (Latest news at  http  http,1
69,"""All COVID-19 vaccines authorized in Canada are proven safe, effective and of high quality.""  Except that's not entirely correct if you read the fine print or the testimony of the official who authorizes vaccines in Canada. 1/  http",1
70,@user @user First Song : Omo Ope ft Olamide  Second Song: Sungba Third Song: Sungba ft Burna Boy  Fourth Song: PBUY Fifth Song: Terminator (Leaked)  Just 4 official songs and you say he's bigger? Tuennnnn... Patapaa over Asake on any day 🤣🤣🤣  I'm a huge fan tho,2
71,Twitter Threatened With Class-Action Lawsuit for Banning Doctor Over COVID-19 Vaccine Post   http,0
72,"Even before the COVID-19 vaccine was authorized, there was a plan to discredit it  http",0
73,Health Ministry to use mobile vaccination sites or vehicles to administer the fourth dose of COVID-19 vaccine.  http #LKA #SriLanka @user,1
74,"Note they drive a #Vaxxed bus around NSW/QLD, purportedly interviewing endless “vaccine injured” devotees. Set out to gather COVID-19 vaccine victim testimonies last year. Where is this evidence? #StopAVN",0
75,Breaking news in green bay. Packers QB Aaron Rodgers is getting suspended for 6 games for not being vaccine against covid 19 packers back up QB Jordan Love will start for the 6 games. Per me &amp; @user   #GreenBay #GreenBayPackers,0
76,EC’s HERA signs Covid-19 vaccine procurement deal with HIPRA  http  The HIPRA bivalent recombinant protein Covid-19 vaccine is presently under the EMA’s rolling review.  http,2
77,"Military wife Crystal Kupper: ""When the Secretary of Defense ordered all military members to get the Covid-19 shot, I knew that my man never would."" Exclusive—Crystal Kupper: My Military Husband Isn’t Backing Down from the Vaccine Mandate and Neither Am I  http",1
78,"Covid-19 : Seuls 11,46 % des Sénégalais ciblés vaccinés  http",2
79,"@user Key Information for Travelers to Costa Rica  Make sure you are up to date with your COVID-19 vaccines before traveling to Costa Rica. If you are not up to date with your COVID-19 vaccines, avoid travel to Costa Rica. Even if you are up to date with your COVID-19 vaccines,",0
80,@user @user,1
81,I typically agree @user but you’re flat wrong on healthcare because any child attending public schools has a whole list of Required Vaccinations.   COVID-19 was evolving and those who insisted on balking at vaccine and mask requirements had the highest death rates.,1
82,Year 2018  .  COVID 19 VACCINE ASTRAZENECA MANUFATURED DATE IS 2018  .   http,0
83,Lukewarm interest in COVID-19 vaccine for kids under 5  http,2
84,@user @user Thalidomide? That’s not a vaccine. It was used OVER 50 YEARS AGO. Ever heard of •Chickenpox (varicella) •Cholera. •COVID-19. •Diphtheria. •Haemophilus influenzae type b (Hib) •Hepatitis A. •Hepatitis B. •Human papillomavirus. Vaccines can prevent them.,0
85,Pfizer and BioNTech will begin trials of their updated mRNA Covid-19 vaccine designed to protect against the newer BA.4 and BA.5 sub-variants of the coronavirus later this month.  http,0
86,"Protect yourself and your loved ones by ensuring that you complete the recommended dose of the COVID-19 vaccine.    Chanjwa! Pata Chanjo, tuwe Chonjo!  #Chanjwa #TuweChonjo  @user @user @user @user  http",2
87,"@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user Looks @user bravely ran away.  Folks should feel to report anymore misinformation they peddle on ivermectin, COVID-19 vaccines, etc., since they're violating Twitter's terms of service.   http   http  http",1
88,@user Vaccines are effective #COVID protection from severe illness  Unvaccinated are ~40 times more likely to be hospitalized  For additional #Covid_19 information from medical professionals   http  not partisan trumpers  #CovidVaccine,2
89,"You know how they say we're an unclean minority? There are 74.2 million of us, natural pure human1.0.   #JustSayNo to the #Transhumanist gene editing experiment known as the mRNA COVID-19 vaccines.",0
90,Tous ceux qui ont la Covid-19 sont vaccinés et tous ceux qui sont décédés...  http,2
91,"@user @user @user @user @user @user @user @user @user @user @user ""BansOffOurBodies"" - Dems are hypocrites - covid-19 vaccine.",1
92,"BioNTech and Pfizer will start a clinical trial of a Covid-19 vaccine adapted to the BA.4 and BA.5 variants of Omicron this month, as the German biotech forecasts an increase in demand at the end of the year.   http @user @user",2
93,"Nearly 30,000 Deaths Reported To VAERS  Data released by the CDC show 1,371,474 reports of adverse events from all age groups following COVID-19 vaccines, including 29,981 deaths and 249,116 serious injuries between Dec. 14, 2020, and July 29, 2022.  http",1
94,"@user @user The data says that virtually 100% of us will get COVID 19. Indeed, vaccines mitigate but do not eliminate the risks of increasing age and obesity. One can live in a bubble... forever.... or roll the dice... even for those at high risk , the odds are in your favour.",2
95,🚨 COVID-19 VACCINE CLINICS: Aug 9  – Aug 14 🚨 💉PFIZER and MODERNA  💉Ages 5+ are welcome (unless otherwise specified) 💉3rd doses available for 12+ 💉4th doses available for those eligible  💉Walk-in only (unless otherwise specified)   http @user  http,1
96,"🚍The vaccination bus is coming...  🚏Catch it in Hanley on Saturday 6 August. Remember, it's never too late to get your first, second or booster dose of the Covid-19 vaccine  📅Sat 6 Aug ⏰10.30am - 4.30pm 📍Tontine Square, nr Halifax, ST1 1NP  🚶No need to book, just turn up  http",1
97,@user @user I think there is a conflict between Covid-19 and Monkeypox vaccine.,0
98,"(From Dr MA lone) “I was speaking with a friend yesterday, and she was so saddened by her family’s rejection of her over her critical perspective concerning the COVID-19 policies/vaccines. She is just one of many, many people suffering from being isolated and rejected",0
99,"@user Hi Doug. I am an essential worker in healthcare and my comp manufactures vaccines for Covid 19 and tirelessly worked in 2020 -21. I know that this administration prioritizes esntl wrkrs. Our EB3 cases from Oct 2020 mvd to NBC on Jun 7th 22 and stuck, didn’t move to FO",2
100,"BREAKING: A federal judge in Ohio has blocked the military’s COVID-19 vaccine mandate nationwide for Air Force, Space Force and Air National Guard service members who requested religious exemptions.",0
101,"🚨BREAKING: COVID 19 Vaccine Mandate Dropped🚨  It has been a long time in the waiting for cruisers, but @user has now officially outdone @user @user and @user (All who allow limited unvaccinated passengers).   http 1/",1
102,"@user @user Honored @user ‘s Dr. Daniela Díaz who spearheaded the Covid-19 vaccine efforts at the Armory and thanks to her work, over 100,000 folks got their vaccines!  You represent us well 🇩🇴🇩🇴  http",2
103,"Australia scraps COVID-19 vaccine that produced HIV false positives | World News, The Indian Express  http",0
104,@user @user,1
105,"The US made hundreds of millions of doses of safe &amp; effective COVID-19 vaccines available by early 2021, but by early summer, US production of COVID-19 vaccine doses mostly stopped growing. Why?  @user explains:  http  http",2
106,@user @user @user I've received many vaccines and yes I know how they work. That's why the Covid 19 vaccines aren't real vaccines. That's why they've changed the definition of vaccines in the last two years. They're moving the goal posts to fit their narrative. How much did Pfizer make on vaccines,2
107,"Vaccine Rollout (2nd dose 5+)  1,404 2nd doses administered yesterday 90.03% nationwide  By state: NSW: 89.28% VIC: 89.27% QLD: 85.70% WA: 91.72% SA: 88.68% TAS: 94.39% ACT: 98.11% NT: 82.18%",2
108,"74.2 million people in the USA have not had a single dose of a Covid-19 Vaccine, &amp; another 157 million have refused a 2nd or 3rd dose according to CDC – The Expose  http",2
109,"@user @user Followed. These vaccines will soon surpass any other deaths recorded in history. Be sure to follow back, I post a lot on COVID-19 injuries.",2
110,"""COVID-19 'Vaccine' Mandates Will Apparently Be Permanently Ended In Costa Rica. This message was just released on Telegram. I have not been able to confirm anything via the news…""Dr. Byram W. Bridle  http",1
111,How Johnson &amp; Johnson’s Secure Data Pipeline Helped Speed the COVID-19 Vaccine Production  http,2
112,What can I say to get banned the quickest hmm. Hate this platform bunch of communist running it. You cant change your gender! The covid 19 vaccine doest work very well and is pointless for most people take. LGBTQ movement protects groomers that want to sexualize kids.,0
113,EU says Novavax Covid-19 vaccine should carry heart side-effect warning  http,2
114,"Stay up to date on your COVID-19 vaccine and booster shots.   Use this tool to determine when or if you (or your child) can get one or more COVID-19 boosters. Visit  http and click the ""Find Out When to Get a Booster"" button to start.",1
115,"Animal studies were completed for the COVID-19 vaccines, contrary to a Texas lawmaker’s false claim. A clip of his 2021 remarks is once again being shared widely online.  http",2
116,Getting vaccinated and boosted against #COVID19 are two of the best and safest ways to protect yourself and others.  The initial series of your COVID-19 vaccine is as important as your booster shot.  Schedule your vaccine or booster shot appointment! ☎️312-942-3368 #getthevax  http,2
117,"UofT's decision to require those living in student residences to have at least three doses of a COVID-19 vaccine could boost third-dose uptake among young adults, but it won't drive a significant increase unless other schools follow suit, experts say.   http",2
118,Parental COVID-19 Vaccine Hesitancy in the United States.  http,1
119,"@user From the same Health Canada report: “Although adverse events may occur after being vaccinated with a COVID-19 vaccine, they are not necessarily related to the vaccine.”",0
120,"@user @user @user As far as charging individuals a fee before getting vaccinated, ""COVID-19 vaccines are available for everyone ages 6 months and older at no cost. Vaccines were paid for with taxpayer dollars and will be given free of charge to all people living in the United States...""",1
121,"Prior CDC-imposed barriers to off-label Covid-19 vaccine access that @user &amp; I have written about should no longer apply.   Yet we still aren't seeing off-label talked about as an option to get at-risk but ineligible folks access, though it should be!   http",0
122,#Covid_19 @user #vaccine #vaccineinjuries #VaccineSideEffects #VaccineDeaths  @user @user  #EUA #SuddenAdultDeathSyndrome  @user @user Still can't sue.  This is just so sad.  #myocarditis Kids have an almost 100% recovery rate. #Parents,0
123,Sick and tired of the same shit. There is no such thing as a vaccine for covid 19. Its fake news.,0
124,"Whit Merrifield gets COVID-19 vaccine, now able to play in home Blue Jays games  http",2
125,"@user @user @user It does say that.  ""A two-dose series of the vaccine was 100% effective against Covid-19""",2
126,"To date, the health regulator assessed around 160 people who “possibly died” after getting the jab. South Africa Confirms Causal Link Between Death and COVID-19 Vaccine  http",1
127,"The U.S. government will pay $1.74 billion to buy 66 million doses of #Moderna’s #COVID-19 vaccine made with the new #Omicron-adapted formula, the drugmaker said.  MORE ON THIS HERE:  http  #Vaccine #mRNA #Variants",1
128,"It's a shame  COVID-19 Vaccines Hinder the Immune System, Lead to More Severe Illness: Dr. Robert Malone  http via @user",0
129,"Whit Merrifield gets COVID-19 vaccine, now able to play in home Blue Jays games  http",2
130,@user @user @user Covid 19 vaccine results🤣😂😹,1
131,"Wish me luck!!   For more inclusive approach in combating unequal access to affordable, good quality, and safe COVID-19 vaccines.  http",1
132,"@user @user @user @user Like what qanon king? Election fraud debunked! cabal of Satanic, cannibalistic sexual abusers of children operating a global child sex trafficking ring debunked! Jan 6th were ANTIFA, debunked! Bill Gates puts chips in COVID-19 vaccine debunked and stupid.",0
133,@user You can’t cry about that bc we are forced to vaccinated in schools not just Covid-19. College require some vaccines too or at least one if your in the dorm rooms. So miss me the crying about the Covid-19 vaccine.,2
134,Children between 6 months and 5 years old can now get the COVID-19 vaccine in this province.  We asked psychologist Janine Hubbard for advice for parents of young kids who might be nervous about giving them the shot   http  #cbcnl,1
135,"@user West Virginia will not let students attend school who don't have mandatory vaccines, which unfortunately does not include influenza or covid-19.   Which is why my kid is forced to homeschool.  He had cystic fibrosis.   Hmmm.",1
136,Should you get another Covid-19 vaccine booster now or wait for the new shots?  http via @user,2
137,New2Trip: Serum sickness-like reaction to COVID-19 vaccine  http,2
138,"The Red and Amber Code function, as part of the ""Vaccine Pass"", will enable arrivals tested Covid-19 negative to go out and about sooner while minimising the risk level of transmission in community.   http  http  http",1
139,The SAD Truth.... Truth In Plain Sight About the Bio Weapon Known as Covid-19 and the Associated &amp;quot;Vaccines&amp;quot;  http,1
140,"@user @user @user @user PROVEN vaccines help people. Covid 19 jabs help who? Those who’ve neglected their health &amp; or those near a century old? The efficiency is less than 30% which is a failure! Utterly useless for me who’s healthy, young, slim, &amp; meticulous.",0
141,Georgia among worst for children’s COVID-19 vaccines | #coronavirus | #kids. | #children | #schools  http,0
142,@user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user @user So many COVID-19 vaccines that are safe and effective enough for the EMA to authorize their use.  Makes it even more pathetic that vaccine denialists pretend the EMA agrees with them on vaccines.   http  http,1
143,"BioNTech Reports Strong First Half, Expects Demand to Grow BERLIN—BioNTech, which teamed with Pfizer to develop a COVID-19 vaccine, has reported higher revenue and net profit in...  Please read the full story here:  http #Uncategorized...  http",1
144,¿Es segura y eficaz la vacuna Ad5-nCoV-S (Convidecia) de CanSino? | COVID-19 Info Vaccines  http,1
145,"COVID-19 UPDATE  206.21 crore total vaccine doses (93.55 cr Second Dose and 10.59 cr Precaution Dose) have been administered so far    29,58,617 doses administered in last 24 hours  India's active caseload currently stands at 1,34,933  Active cases stand at 0.31%  http",1
146,PolitiFact | Deaths of three doctors in Canada were neither sudden nor linked to COVID-19 vaccines  http,1
147,"South Africa’s health products regulator reports the first death that has been tied to the taking of a Covid-19 vaccine, saying that the patient had been given a Johnson &amp; Johnson shot  http",1
148,Because they could kill enough off with the #Covid_19 #COVID vaccines 😅 #monkeypox,2
149,"""...Uruguay’s case fatality rate (deaths per COVID-19 case) went from around 1% to up over 1.5%...through the end of the year. That is, not only did COVID-19 cases explode in Uruguay following the introduction of the quasi-vaccines, but the cases were more deadly on average.""",1
150,Did Covid-19 Vaccines Affect Women's Periods?  http  http,1
151,"Threat:  I'm not anti-vax. Let's start there. My mother had her first dose when they came out and, in less than 24 hrs., had a stroke. The doctor told us that he believed the vaccine may have caused it, though he couldn't prove it. He advised we not get further COVID-19 vaccines.",0
152,"RTStateDept: Today, the United States delivered 4,800 pediatric COVID-19 vaccine doses to Saint Lucia through #COVAX. We are proud to partner with the people of Saint Lucia to protect children and communities from the harmful impacts of COVID-19.",2
153,"@user @user Was enough for me to say no. ""The significant known and potential risks and benefits of Pfizer-BioNTech COVID-19 Vaccine, and the extent to which such risks and benefits are unknown.  Although limited scientific information is available...""  http",0
154,@user @user If you get vaccinated you won’t get covid get your covid 19 vaccine public health 2019,1
155,"@user @user @user @user Not experimental. You would only think that if you were ignorant to how much research has been done on corona viruses and mrna vaccine prior to Covid 19, and the vaccine research and development process to begin with.  But you do you.",0
156,"BREAKING: A federal judge in Ohio has blocked the military’s COVID-19 vaccine mandate nationwide for Air Force, Space Force and Air National Guard service members who requested religious exemptions.  A tremendous victory.",2
157,Germany: Health Minister Lauterbach inflamed with Covid-19 regardless of 4 anti-coronavirus vaccines  http,0
158,What is the vaccine effectiveness of BNT162b2 against Omicron in five to 11-year-olds?  http,1
159,Top Sask. court dismisses father's appeal against getting children COVID-19 vaccines | CBC News  http  1/,1
160,"John Oliver Doesn’t have a clue, the vaccine for monkey pox has horrible side effects that aren’t rare like COVID-19 vaccine   http",0
161,@user What exactly to @user contribute towards the Covid-19 vaccine??  He did nothing but laugh at us and attend party’s! He closed down Wales but went out in England!  His #Chinese communist friends made the Covid-19 germ 🦠 which affected us all in some way!  http,2
162,"We are proud to announce that our paper, ""Political Partisanship and Trust in Government Predict Popular Support for COVID-19 Vaccine Mandates for Various Professions and Demographic Groups"" is accepted for publication at American Politics Research! Watch this space for details.",2
163,"@user But in my personal opinion, it’s much more concerning that since the Covid vaccine is being mandated &amp; yes there’s many things “different” with Covid-19 vaccine.  Because of this, Ppl are becoming more Anti Vax towards regular basic child vaccines. I think that’s more concerning.",1
164,BioNTech Sinks As Covid-19 Vaccine Sales And Profit Disappoint #SocialMedia #digital #digitalhealth #health via  http  http,0
165,"@user Obama: ""We've... essentially.... clinically tested the COVID 19 vaccine on billions worldwide.""   I guess no one else finds it alarming that billions were forced to take an experimental vaccine whose manufacturers are totally immune to reprisals....  Here's the quote  http",1
166,New study finds COVID-19 vaccines did not reduce mortality in the U.S. - Rebel News  http,0
167,"With Innovation, We Can Keep Reducing the Toll of COVID-19  -- News, Social Impact | The Perfect Enemy:  http  #PublicHealth #Vaccines  http",2
168,"Ezra Levant spoke with Pearson Sharp, journalist and host at OANN, about the COVID-19 vaccine rollout, possible motives behind it, and the control of information surrounding it.   http   http",1
169,"@user @user @user You’re right. I confused it with development, that they have been working on for vaccines for those, which is similar. So they still had years of development. The EUA unlocked a lot of funding for the COVID-19 vaccine, unlike they did for SARS. That was one major reason to use it",0
170,Novavax COVID-19 Vaccine Primary Series in Adults Ages 18 Years and Older  http,1
171,"@user @user OK apart from the researched info available online, or just check out my profile. Logical question. How many children now reported dead from the Covid-19 vaccines? Must be many according to you. Can you post the data with that figure and we will go from there.",1
172,"@user As wrong as the FBI raid was, Trump's unquestioning &amp; unequivocal support for &amp; promotion of the ""covid-19 vaccines"" is many times more wrong.",0
173,#COVID19: Health authorities confirm first vaccine-related #death in #SouthAfrica | Aug 4 - A patient who had received the #Johnson &amp; Johnson Covid-19 vaccine has died after developing #GuillainBarré syndrome (GBS) and a prolonged hospital stay.   http,1
174,"@user @user @user Umm.  You understand, the covid 19 vaccines.....don't do anything for polio.  Facepalm",0
175,Linking COVID-19 vaccine with Monkeypox: Busting the myths  http,2
176,Birx Says COVID-19 Vaccines Were Never ‘Going to Protect Against Infection’  http via @user,0
177,@user @user The Covid 19 vaccine is said to save life’s. Does the same apply to having a choice of getting the jab? Certainly sounds like the same scenario.,2
178,When you're hoping covid-19 is not finished... the vaccines/boosters Obviously DO NOT WORK!  http,1
179,"Great news! The Novavax COVID-19 vaccine is now available in our vaccination clinic. This vaccine is a two-dose series, administered at least 3 weeks apart, approved for all people ages 18+. Boosters not approved for this vaccine at this time. Learn more:  http  http",2
180,@user Study uses digital technology to evaluate antibody response following COVID-19 boosters  http @user @user #antibody #COVID19 #coronavirus #covid #vaccine #vaccination #booster,1
181,"UK Medicine Regulator Confirms COVID-19 Vaccines are 7,402% Deadlier than all other Vaccines Combined  http",0
182,Polio has re-emerged in NYC. COVID-19 and Monkey Pox are national crises. Yet this guy wants to “fry” those who promote vaccines. This is who you choose to believe?#VoteBlueNoMatterWho,2
183,"Dr. Birx now says she knew that the vaccine wouldn’t work! While the media manipulated you into getting a shot to prevent you from getting COVID-19, Dr. Birx knew otherwise!  http",1
184,"COVID-19 Vaccines Hinder the Immune System, Lead to More Severe Illness: Dr. Robert Malone  http via @user So Haiti has the least number of covid deaths.  Interesting.",0
185,New COVID-19 Vaccine May Provide Option for Religious Objectors | JD Supra  http,2
